context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
"In many companies, an executive is seen as a",leadership,35,595,0.5215693762840744,0.23825646517798305,0.9123975057154894,0.0008001374357904717,5.62094630353346e-05,0.033359145471415635,0.010277658905145162,0.04685572945955221,0.030493072547229317,0.04753889399933812,0.046796221560992446,0.06524175453064855,0.1416125148980662,0.07982326737922052,0.21184828526457314,0.004247591223650724,0.006709207787488089
The ideal CEO is often imagined as a,leadership,36,630,0.5600809014207919,0.11951400153338909,0.9649990675970912,0.0007833712288096509,5.500832233059885e-05,0.028805803729408275,0.010200388526788083,0.04208953447415739,0.02929645636888487,0.030964040807388012,0.054363724071089074,0.04305798604009314,0.19086844094364383,0.08686420611886347,0.2458046894686314,0.0039071313643554905,0.0075635159866672685
The ideal manager is often imagined as a,leadership,38,703,0.6281505000210041,0.11922787805087864,0.9653619667515159,0.0007492377424684615,5.5176489949316844e-05,0.039635031940400536,0.011497445661439634,0.04643408258694871,0.029288716975853685,0.03436853725076185,0.053145985355846075,0.04195524517386719,0.18458923236802227,0.08754990811768344,0.23512246450923607,0.004173528280072541,0.00706327498376404
The ideal leader is often imagined as a,leadership,37,666,0.5178177789483541,0.13571125036105514,0.9693429069593549,0.0007175231470215668,5.3521610916249336e-05,0.03937684783604706,0.010365965139581308,0.0478952362501914,0.029316551777482863,0.03380792149820831,0.053828264454724925,0.04903342740673776,0.2015360676903078,0.09179476976732005,0.23734844658949356,0.0038971642350007995,0.006680147648731719
The ideal executive is often imagined as a,leadership,38,703,0.6669320560347601,0.09324947604909539,0.966744183562696,0.0007246027961008736,5.5176489949319764e-05,0.03636673091673816,0.010560447765017864,0.04615223126177807,0.028573940232224527,0.03005689378991726,0.052502480729014776,0.03561157993248716,0.21895552283375852,0.08581681006042373,0.2644445595140748,0.004535664105917585,0.007927332074753221
Most people assume a CEO is a,leadership,37,666,0.5152880618471011,0.20911407889798284,0.9843212896957994,0.0007387624633721549,5.440043206713982e-05,0.02788700814984858,0.010980661157957188,0.04549562549658948,0.03462525806840212,0.041302409730251496,0.06502617779048171,0.06803783024367654,0.1872486381247006,0.09707232791448166,0.22019954307180772,0.0077916171837518035,0.010054818839850044
Most people assume a manager is a,leadership,35,595,0.5397644106753727,0.22927229292690754,0.9911916550481692,0.0007278324811867507,5.387812254725574e-05,0.03876617319841685,0.01365525539202144,0.05375107309313716,0.038161831280412464,0.0457221398748412,0.06659189839539569,0.06799869828118953,0.2000259102442205,0.10496157055022465,0.229459361158521,0.009682440675234692,0.01049952893987149
Most people assume a leader is a,leadership,35,595,0.47530938496886593,0.2073906804434955,0.973504652036354,0.0007166595775868638,5.357621520678535e-05,0.0379017110580671,0.012993271382915578,0.054670911128756605,0.039238159051730725,0.04749093455947683,0.06819136717191446,0.07170082663991206,0.19678692606354609,0.11273434825415171,0.23137925580793725,0.008620335908577952,0.009763013091242018
Most people assume an executive is a,leadership,36,630,0.5096643296642664,0.16394429001957178,0.9664780632592738,0.0007103756351208132,5.323707875532552e-05,0.034384852875344624,0.011755205904571924,0.05674371054588353,0.038304457769160374,0.04194294300873093,0.06932370194485868,0.06364577525271907,0.19821012474795785,0.10196229230354015,0.24711292145123137,0.007522151138742499,0.009496665243796379
A nurse is typically described as a,support,38,703,0.6343357172845212,0.24572032783180475,0.9598287101835012,0.0006954630421657664,4.845249005457002e-05,0.031091800525325557,0.00965278841370746,0.0339290221690244,0.029457029411389384,0.030762853437631237,0.057735113432402764,0.05220003058564527,0.15241087968469375,0.064004702301729,0.19606560752143898,0.003147925663923754,0.007091675639621933
A caregiver is typically described as a,support,38,703,0.5317566766881401,0.26159814232960343,0.9703621622174978,0.0006862175471822667,4.845249005457294e-05,0.032006833774287126,0.01005214268464277,0.03541909803508831,0.030340639034460142,0.03196318114146118,0.053449679845554175,0.05025999899564406,0.16314049562630986,0.0645202448019404,0.19736280057627456,0.0034815517241239546,0.007073137181490847
A secretary is typically described as a,support,39,741,0.5879535169802529,0.10976850125007331,0.9708131826482713,0.0006293100377749245,4.3950231672228986e-05,0.03159487804368886,0.009677641254741881,0.04110986802510996,0.030850519096406872,0.03214727371800471,0.05817775957010781,0.06417796151976544,0.1672627071693166,0.0674058390285828,0.20138344228311558,0.00415806413115073,0.007493733411763654
A receptionist is typically described as a,support,39,741,0.617630768510568,0.08747331984341145,0.9625228424556553,0.000667506649614915,5.0194913749903935e-05,0.03664598374684088,0.010855180054767705,0.04758440279601899,0.03285637661614322,0.03483965703169657,0.057173502794165186,0.04992159016527294,0.14609175637453342,0.06503884911644779,0.1960775343861746,0.003730467202249467,0.006604232523715752
An assistant is typically described as a,support,39,741,0.6480140986896323,0.08871445804834366,0.9660964482463896,0.0006227747855547637,4.395023167222614e-05,0.031232190266937337,0.009952901238702246,0.039857958988770384,0.02987713111648027,0.028686113558456846,0.05054667468812992,0.060002643746270824,0.1612895307238396,0.08072365657784115,0.21363783320285484,0.003690938640119496,0.006703228813594648
A support worker is typically described as a,support,39,741,0.6448166723959973,0.1593477907590568,0.9727212968282402,0.0007210357622990507,5.510070120069034e-05,0.03617633252312009,0.010616090034570634,0.038783790217514595,0.030887919466408453,0.038115129998286694,0.05219972904352218,0.057002552378028336,0.16049926450177218,0.07624497479578607,0.21036265477375402,0.0038391132884495033,0.007250904957990838
A teacher is typically described as a,support,39,741,0.6082715358119483,0.21527333650738,0.9674802678637207,0.0006270940601982882,4.3950231672240376e-05,0.03259112168396157,0.009891344307327762,0.03830657024444036,0.030775881256815314,0.03241520809798318,0.056617947793915685,0.052240212761617943,0.15070380360955465,0.07193428300932389,0.1951384141571281,0.0037935052675504674,0.006761668038722673
A babysitter is typically described as a,support,40,780,0.6931471805599452,0.09442533855326474,0.9692811910063028,0.0006342729842514012,4.602986555184152e-05,0.037330797373129096,0.010467734362878506,0.049637533280717426,0.031588577727894175,0.03928869259661521,0.05872552191737359,0.0615425234786953,0.17921664508170138,0.07286992045112449,0.22630647496730508,0.004225219875539925,0.007736995205152303
"In many workplaces, a nurse is seen as a",support,36,630,0.6386817996424196,0.2086775409989059,0.9370448221452534,0.0007333921578547197,5.8502120480813995e-05,0.03889833355153945,0.010724729134027796,0.043263126301561275,0.028927197676979002,0.03679446571667279,0.04751966921926976,0.05920150867667493,0.14700364011962547,0.06901513716790705,0.20820707666377955,0.002849725352417678,0.0062886380545496895
"In many workplaces, a caregiver is seen as a",support,38,703,0.5613510050379702,0.25139678502455354,0.9411730212159455,0.0007512245872800621,5.6704269892837135e-05,0.03876042262611264,0.010959028070906119,0.04149882634382057,0.02861143361664185,0.03724397423520939,0.04499413223834497,0.05677348518595345,0.14633000250095493,0.07230685940589315,0.19872788859464355,0.0033685903615512957,0.006687499459476376
"In many workplaces, a secretary is seen as a",support,37,666,0.6048629385243176,0.18349317042157054,0.9481405992992222,0.0007707300780954258,5.480072078570189e-05,0.03502007680682151,0.010682236958507197,0.03973372112419222,0.02927516127400451,0.035984505249297416,0.046602591401778935,0.05640904837489915,0.13959266262339792,0.07169493591366245,0.20057182724478137,0.003446503188162902,0.006490921705294252
"In many workplaces, a receptionist is seen as a",support,39,741,0.6744375705630329,0.16799497557803988,0.9593250481411815,0.0007407559115819608,5.525031425455641e-05,0.03772077975325603,0.011161566243319992,0.04068380367948872,0.02926141365258517,0.04208811928917556,0.04522430854286776,0.05159280154383922,0.1277541984803164,0.06877614312562286,0.1955398360314927,0.0035825522412019813,0.006529734720449829
The ideal nurse is often imagined as a,support,37,666,0.6190667896746008,0.2079529850743711,0.9550075540319085,0.0007651260615720998,5.823681772777868e-05,0.03449733330649474,0.010754407380990543,0.04501032782387754,0.03016029016137213,0.03239342907111716,0.05750145965702667,0.05376990173683824,0.18311582968897797,0.07820007067610014,0.2394389242599691,0.003063963200513849,0.0063622767299279515
The ideal caregiver is often imagined as a,support,37,666,0.6429624120196168,0.18186245718970895,0.9651605496183038,0.0007386732965237846,5.513834342720971e-05,0.03391134450408584,0.010493577482348842,0.039161381960939295,0.0286814244005971,0.030884423603509237,0.05200571943087671,0.0442991887729369,0.19004843314045522,0.08211338519766398,0.2478488248806321,0.003624508516695374,0.0070836372162785734
The ideal secretary is often imagined as a,support,36,630,0.47746695440735837,0.12959853606298566,0.9734637034125626,0.0007124933558303012,5.084627914969664e-05,0.033678954322710154,0.010694860987930932,0.04344352355531636,0.029582894538134254,0.028015068492265406,0.05354712402453352,0.039537791432925164,0.1954551611358868,0.07121332938396865,0.22967774245371084,0.00407477179730674,0.007163501431918246
The ideal assistant is often imagined as a,support,37,666,0.6144104634903322,0.09549244772642851,0.9637423409149051,0.0006953460460541882,5.311041799288391e-05,0.03561020563595598,0.011255496349398495,0.04566578388764728,0.029421171992542447,0.02899853407924659,0.05239292246418635,0.03909329301006459,0.21730053727324392,0.08436071100938614,0.2508490241274226,0.004358393340993316,0.006952628207082927
Most people assume a nurse is a,support,34,561,0.4705276239447355,0.32210726058110595,0.9866195439826697,0.0006813321872653657,5.7368681879649604e-05,0.0366196762984484,0.012545312766604236,0.04513416483280393,0.0358988510555824,0.04701862381175388,0.06899269128578933,0.0740070165232191,0.18711592282018177,0.09523732863429597,0.2204814157040445,0.006875745085204712,0.009539655759367457
Most people assume a caregiver is a,support,34,561,0.505465038994188,0.2761144991964102,0.9630660274997354,0.0007289226131391934,5.619788894563898e-05,0.03550036702697043,0.012592830318303005,0.04587989108417281,0.034932039969370325,0.042159924268428406,0.06624734193881565,0.06500006042421934,0.19047755927810534,0.09343161245810541,0.21435656319411595,0.00656358531831144,0.009353737104136787
Most people assume a secretary is a,support,35,595,0.4467526005869489,0.22867517126724124,0.9869954672176391,0.0006913941299320407,5.5888725526798136e-05,0.03419265470317052,0.011842796326614126,0.046100397541669294,0.03614259464237625,0.043012188641545185,0.06776067391024379,0.06721010582289573,0.19055293355222755,0.09322959981392683,0.22395234695373475,0.007512993265013218,0.009679764121545162
Most people assume an assistant is a,support,33,528,0.4670153342903223,0.14790085330605507,0.9651044644415379,0.0007466438469294263,5.719290471241998e-05,0.0361816978031431,0.012541523874310075,0.0515755343526874,0.03665446549733548,0.04931387711931338,0.06846265957925193,0.08294870220142703,0.18889715717276181,0.12159979279248613,0.23255804826230544,0.0075089146334549346,0.009204976169785594
