context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30
"In many companies, a leader is seen as a",leadership,32,496,0.24434091349685727,0.38019477017223835,0.670703049749136,0.40791477271704935,0.6992515539750457,0.0009381029175440591,4.312834495316317e-05,0.0033784158596396477,0.00027022942388918794,0.0031027244227284693,0.00033457728560932695,0.0035472315409079552,0.0005704401231612088,0.0037794368103071965,0.0012298883794791549,0.004448893205360514,0.0016020898261040507,0.004798597965337465,0.0021746250017063568,0.004700708808182753,0.002696817951184656,0.005326027282054273,0.003303650220177364,0.00574136589149594,0.0037547905664045284,0.006348335494227347,0.004295059128341789,0.006424050429361685,0.004651942692692101,0.007186688338002752,0.005285370762211507,0.00920536563071785,0.006520461275308819,0.015532962687026778,0.008078173512295925,0.009713336219381934,0.00935863926040914,0.011124743607979595,0.011284710702848151,0.009403675220951091,0.013320338852513554,0.010115802380379325,0.015419130992890762,0.015159102586834542,0.01919181941110876,0.0176580955325018,0.025083295889021886,0.015302559763821343,0.027895690233295148,0.012821583735746824,0.03041020601759518,0.021402773850580564,0.03598780979870986,0.025810479922815214,0.037236750663600826,0.026037082700205067,0.03152709903533692,0.029545273924861837,0.030743488153466277,0.03202423985880207,0.03579569539527952,0.03709853625805544,0.040379101768009434,0.03333720334867114,0.040180789586322374,0.14580796008212066,0.09683027350124451
"In many companies, an executive is seen as a",leadership,31,465,0.271133047705086,0.3203622344881296,0.660626691300422,0.34945089335087687,0.6843460638192482,0.001119834732925621,5.6011103257032925e-05,0.004419075904032199,0.0002651055427844001,0.003946634790480858,0.00032113179134667954,0.00409784939994049,0.0005423779966384445,0.003340313017575064,0.0011267999425122162,0.0038026758095455805,0.0015171107088352868,0.0050252534125367005,0.002111163305449521,0.005125062803134708,0.0026585644610132237,0.005318245875143813,0.0032558108098640205,0.005821808846627512,0.0036798701361482225,0.006619852050549959,0.004100512354579551,0.0063288426170406255,0.004365578453325829,0.007138537708093703,0.0049740991356759315,0.009315713772527406,0.00609400518955628,0.016163227328508736,0.007472479424281499,0.009503965105439653,0.008332424602670599,0.012163082802497768,0.009969520204411947,0.007755891604979344,0.011823454907299228,0.007928003410443264,0.013775054468327365,0.012270828205879844,0.0167362639772676,0.01464139593036732,0.022366776364521904,0.01303204471605042,0.024128446363696272,0.01112828874005895,0.027235716903524963,0.019207433820299942,0.031657047659984255,0.024150790488087017,0.03213653261680978,0.022013099866049258,0.026784158727821413,0.02351547743108544,0.025788536793719702,0.025695915923103663,0.030155613468067256,0.032009693422229736,0.033578942515977164,0.0292587528265404,0.03373801232023661,0.1295275715578463,0.09026908866585695
The ideal CEO is often imagined as a,leadership,28,378,0.18121114687719128,0.3228880986571312,0.606116465292871,0.33826010083430447,0.6287938711466268,0.0010184404315014444,6.183064934369867e-05,0.0066225669596305095,0.0003378161639340317,0.006393344686858191,0.0003844022250063171,0.005239509824303472,0.0005954324436297033,0.002959459464310814,0.0012252337774360047,0.0032520865914878435,0.0015586233628954766,0.005592700378347667,0.0022243340172558856,0.005556918981354163,0.002703962723908731,0.004554350002015888,0.003425467142743527,0.004914151589993757,0.003942170871281736,0.005815362820312818,0.0040971042470686935,0.006257654587349796,0.004491847800092117,0.00744063132481918,0.005095654610398971,0.007343914242407996,0.005991264876483636,0.010424336022434793,0.007249295359899084,0.00944692825007809,0.008172027269480964,0.009001006873241388,0.009218387652425783,0.009487501052736174,0.011005759331520284,0.009120999797407742,0.012884331568425333,0.012610884834765714,0.014088450160772028,0.012395713096295951,0.018704216996376064,0.011896147492226342,0.020445049173864503,0.013309041404745658,0.024245829733515387,0.02058208853911226,0.03160974104031412,0.025322627192735717,0.03221171613606196,0.019584867957158237,0.02449728288980385,0.020662926978643057,0.023492889239943922,0.021698389873188884,0.027175008685273522,0.03173623448631071,0.03158137079190794,0.030209467166732302,0.032789087426646386,0.13715806773160208,0.11458836977784913
The ideal manager is often imagined as a,leadership,30,435,0.1952335172629073,0.3173965192399919,0.5423560761846602,0.3340631431492511,0.5688064012210816,0.0010215218712109674,5.8339677325484435e-05,0.006511985985393015,0.00031389115453304137,0.006095040458274509,0.00037145594807340697,0.0049127583121032405,0.0005959546899772923,0.0029675758184106843,0.001181471882188212,0.003278713640549249,0.0015970828740144475,0.004882498342182289,0.00219326716759977,0.005275171749191667,0.0027472156035791523,0.004621003174949559,0.003451941359163857,0.005236055156224509,0.00399908864295417,0.005963718305540131,0.00418597533674725,0.006909032028385992,0.004629739142288229,0.007636584918215173,0.005251496628098943,0.008452460138816455,0.006263963642129485,0.012618348685235679,0.007706617112518236,0.00987210369062075,0.008698057038090604,0.010268053716456097,0.009786304189178556,0.009897291234521677,0.011698230930565424,0.009930258279809102,0.013548750187878544,0.013516247305949308,0.014932711952739486,0.012798982571117456,0.018439763552193615,0.012405562750519164,0.02021695359172625,0.013284469196353206,0.02402466410220565,0.019862526052222718,0.030760185297387443,0.023460037406826735,0.030865598661453927,0.019312574787931438,0.02476332217005167,0.019891845160562364,0.023698115032497396,0.02205877878835467,0.027206385980692818,0.030532744812439404,0.03148073645170189,0.03048553241341263,0.03259392003632927,0.1424936438068956,0.10703261290011178
The ideal leader is often imagined as a,leadership,32,496,0.1658433147169373,0.3871426139958203,0.6152839362621307,0.41297708731144667,0.6567644380847923,0.0010390790182830927,5.451808837173e-05,0.005481188697745865,0.000302687822942245,0.005838554400019232,0.0003687085509808709,0.005468032966289481,0.0006067407066631565,0.0033734524013480397,0.0012126146060285649,0.0037372910657086584,0.0018063888489043695,0.0045137948602539555,0.002614251118630617,0.005206190025619089,0.003163462542742617,0.005198366689292473,0.004148381415574776,0.005899270480688754,0.004664754353590574,0.006721770099416776,0.004822921627237301,0.007746184123400307,0.005403982230811018,0.008715378138170103,0.006030020900455766,0.009932535924847162,0.007099489494427978,0.013085030129528575,0.008321862134235542,0.009934017725816004,0.009321046530875135,0.010001497226676412,0.010218626680358379,0.01073093088403857,0.011822170575016857,0.009888785133977685,0.013634273478677659,0.013775590840492501,0.015441843615417072,0.013105123978819315,0.019548805655914662,0.012665906182723834,0.0215532111382991,0.01331568212808252,0.02527291965577315,0.023956071899313466,0.0320791794491643,0.02603880322411798,0.03219688719335197,0.01996594544749209,0.025861523365868635,0.021195594429128085,0.024664466899427397,0.02386285595932112,0.028441769486358962,0.03258972570886728,0.03319020080934212,0.03170218589161304,0.03404815755767458,0.14634739126938642,0.10827995216417201
The ideal executive is often imagined as a,leadership,30,435,0.18292956907513414,0.312526170630008,0.566776632796973,0.32785725401481614,0.5996700922260061,0.0010225370336619868,6.122927833248266e-05,0.006916728760557393,0.00031169281553608357,0.00624401318887919,0.00035811831442713975,0.005354484923287262,0.0005687621594956024,0.0030072618241559737,0.0011127412203251381,0.003217074766288788,0.0014987227469440958,0.005360663902296498,0.0021527744954508267,0.005585535777094233,0.0026945031220004874,0.005157757638629584,0.0034392002484624744,0.005245000571350949,0.00403968159674688,0.005734414785143057,0.004164713999613656,0.006352533491234663,0.004683775141124424,0.007024550328455084,0.005365466548609207,0.00770509855211212,0.00636115359250865,0.01204600982904404,0.008314626451369782,0.009997375263094365,0.009346749313829509,0.010016509556256032,0.010436699246907932,0.009397302185413863,0.012410859706259669,0.009298988170242228,0.01448121213346735,0.01303337785778699,0.016025373934804885,0.013451508009006177,0.01992553390115773,0.01239502728510625,0.02181804842792206,0.01418011054231605,0.026133033991447792,0.024307033290496802,0.03404491494743838,0.029420160939815167,0.03466998426978727,0.024132992495668023,0.027127566506963022,0.025344100928499577,0.0260470506836961,0.028292151823590725,0.030092003992011895,0.03787337002225109,0.03481707236233715,0.0379452250280613,0.036030640055934926,0.1498335796818707,0.11223710401450576
Most people assume a CEO is a,leadership,33,528,0.33213141233166005,0.3512222249992192,0.8999443782959133,0.3775583464503143,0.9100179848974221,0.001012390532428013,6.195131260872964e-05,0.003463533580730338,0.0003583159509322215,0.004082023669520744,0.0004596415465449193,0.0029428857247158534,0.0008148354606122658,0.003860387941152324,0.0016465890269733642,0.00561502628879695,0.00221149936872889,0.005630154601699286,0.0033229905474047735,0.005385940486645066,0.004149770603157122,0.005448538088653057,0.004859420996872192,0.005879499754214089,0.0054780686095421555,0.006863622332268268,0.0058167126387110284,0.0070568889082085265,0.006638728861311089,0.007836273462753746,0.007381388746568278,0.009787785792047293,0.008949042451075188,0.014248410851324673,0.010336113632532274,0.010601156751956248,0.011214649350884672,0.012932079441203849,0.013617730882325558,0.00769075900453622,0.01607864427067395,0.007777591379933791,0.01849186856536807,0.01156652425249846,0.02114993076788066,0.011820219263186585,0.030005326680890898,0.009609689963267835,0.030553263312947235,0.013680316147590998,0.03695430069745894,0.016907003950706465,0.046389045334171215,0.021229251366308956,0.04686639371570975,0.019740159112322783,0.03785171601294402,0.019444900139089335,0.035639551055789954,0.02149203534078402,0.04201605836906562,0.028448401114487338,0.04566472624578375,0.02495108517142718,0.04622260434419594,0.16380725468154908,0.18608874041553497
Most people assume a manager is a,leadership,31,465,0.2961533806322679,0.4608114310540259,0.8847566542681307,0.4803629836787877,0.8919708285793604,0.0010145455106723151,5.809162131156518e-05,0.003417566783868818,0.0003423580612317361,0.004270510083373648,0.00048118253115369744,0.0037859118200342288,0.0009015788019147744,0.00430679545520514,0.001719727498483549,0.004904845180526754,0.002280113687936877,0.005589156980773648,0.0030990524251821405,0.00564039959061025,0.0038791777000252983,0.006274681750413057,0.004542574043399649,0.0066865039757824435,0.005016676028091967,0.007516546765521283,0.005453393271035036,0.008086242723541684,0.006269474658648939,0.008467901295225533,0.00708847278497579,0.01071064356330272,0.008645894341536899,0.01578874311355591,0.009965746747626911,0.010758385352607194,0.010917210300242286,0.015236992387985248,0.013812362990551653,0.010409606031325095,0.01667794561515434,0.010778619631897132,0.019341584427213235,0.014506643398127936,0.022361456241859572,0.014270242832932578,0.03133581621090142,0.012565338726261182,0.032042836082845486,0.016417503930108098,0.03779708337089323,0.019412870961475252,0.04456760431402043,0.02381290414111127,0.04531500817996321,0.022005246718956706,0.0380377165675227,0.022494145343235798,0.03588628703177535,0.02527311103988107,0.04221090192134668,0.03379439515987541,0.04460699661707719,0.03081778588378996,0.044285227616416706,0.1770933915782852,0.1788652913939537
Most people assume a leader is a,leadership,33,528,0.27292520477925847,0.510202445089817,0.9106447109952569,0.5266731454612454,0.9211085098322656,0.0009286913767837577,4.5046032408584e-05,0.002669890189497436,0.00030924220389630977,0.003846584651139233,0.00043746027363254824,0.0033776168341313893,0.0008126697814117315,0.004376170829275526,0.0016984092773215463,0.005082320068448253,0.0023476429332771,0.005258506587544509,0.003526108015012398,0.0051967437201447435,0.004373055341168918,0.0055290239223441525,0.005173125011783272,0.006453419936965294,0.005668889820198917,0.0074897614574588175,0.00598903703010602,0.008602206605084943,0.006747669797666126,0.008591997419148687,0.007578098722742934,0.011285096159331778,0.009294434935010816,0.013510108750621568,0.010575383717134573,0.010410181955506652,0.011708412142872198,0.013126190990939462,0.014525920505282001,0.012501394870586444,0.01718359301708722,0.012037866484326783,0.020195429715618433,0.01814660748061951,0.02359339084072124,0.015971886741651797,0.03172135706054387,0.01284340373832506,0.03282410543320942,0.013872285937560746,0.03877091087001835,0.02705497407825399,0.04818896689798695,0.033310463339200125,0.048623338993847506,0.02643422695380886,0.04005457435013851,0.030003197902802946,0.037770483899285556,0.033020018856967905,0.044103948940628974,0.04319096313971833,0.04929092120891559,0.03776189800052297,0.04925827245222872,0.18963594968027733,0.18295347459815584
Most people assume an executive is a,leadership,33,528,0.2933429122777477,0.386084558442235,0.852445300668478,0.4087478061883303,0.8639752939889149,0.0009613846024009322,5.605429200781086e-05,0.003366469920697155,0.0003436253148929356,0.00458292321828691,0.00044313626626225184,0.003449345426867162,0.0007780752685976906,0.0034731329161819644,0.0015241993276646736,0.004395155062084471,0.0020726449890763063,0.005396804451298865,0.003244640031094064,0.005098402935788132,0.004132805272637109,0.00557224235337044,0.005046670655866843,0.006079857476519394,0.005819172946776571,0.00655913774604918,0.006309423133660055,0.006808264444923028,0.007207583372959829,0.0077322817415083605,0.008165126397616213,0.010747835597160256,0.010097400044274221,0.014893014949428305,0.011611061840619094,0.008752838903975697,0.012676617991434932,0.014495555494200861,0.015581254808040821,0.008476211367004358,0.018303540141292794,0.008613295991867267,0.020939706172709814,0.012240593590448736,0.024717969709681098,0.012838404665927092,0.03277117065566303,0.010755126343909738,0.0335875563755094,0.012348922648212753,0.03915848248051771,0.01711937173393506,0.04679339314424047,0.022621823733514318,0.04743266856386848,0.01798553834690738,0.03855893765915255,0.019402707263223365,0.03627618218434229,0.021221085821590956,0.042723461923001124,0.030884550389054615,0.04634198824662131,0.027469645411066054,0.045620571788054405,0.16980536312288744,0.15588754662030746
