context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
The ideal manager is often imagined as a,leadership,38,703,0.40694389502536227,0.11923819407820702,0.9369100406765938,0.1366874996747356,0.9427976063274173,0.0006956161644329448,5.4732689187661934e-05,0.029263762722715986,0.011310864431048215,0.04568476969459532,0.028194019981023468,0.026164879720306813,0.051967039304300765,0.04492629054469962,0.155572256925436,0.09908802803284561,0.2478961161038571,0.0028322762604151594,0.005330003377758092
The ideal leader is often imagined as a,leadership,37,666,0.38795025155423707,0.13571631768718362,0.9224695153534412,0.14637393704470014,0.9298757012119268,0.0007258217818553702,5.444868947572549e-05,0.029371670277994165,0.01052786180795193,0.04770337522342986,0.02836385352952536,0.026369975920320744,0.0530270644219512,0.04401796761911714,0.17780141865668667,0.11498413422609101,0.26623427880097295,0.0027949375064448955,0.005196975124103911
The ideal executive is often imagined as a,leadership,38,703,0.3913335532145622,0.09324975218623877,0.9307449143379927,0.10887890183221316,0.9377974950068051,0.0006783768717709674,5.473268918766486e-05,0.02980242863930512,0.011092541955427325,0.04806577582459652,0.028017083356257248,0.02767662801697237,0.05222169645151499,0.0425696363445758,0.17607797584155743,0.10338309680641819,0.27857984902183147,0.0031393124626481143,0.005708476814821967
Most people assume a CEO is a,leadership,35,595,0.47074018607202667,0.20912446593865752,0.9948527337401174,0.23276445822193637,0.9949110695120353,0.0006447873186881135,5.5145430818002795e-05,0.02207587292530058,0.012352671076902234,0.0391888021298749,0.03880858917937379,0.02289836960656788,0.05868390636626534,0.04823857607142864,0.16320510326796636,0.09031018631276072,0.2507070699410847,0.008091029555421842,0.009094904729940392
Most people assume a manager is a,leadership,35,595,0.48034473475718975,0.22928694682195783,0.9930721782147884,0.2458286778710317,0.9931635794049498,0.0006620492610386372,5.540448622795172e-05,0.027411138791994867,0.0123870445779873,0.04173749957909743,0.0378171188605778,0.02279164636046559,0.05724755096741599,0.04796719630983639,0.168569932519264,0.08900394889511574,0.24728659038321454,0.007766146655609155,0.00847898169043856
Most people assume a leader is a,leadership,35,595,0.4218234653549896,0.20738335978239775,0.9900215154048055,0.22204606032028096,0.9901176029223393,0.0006560523545556917,5.5207067721089026e-05,0.027592413842849925,0.012291654843327995,0.04697657522291783,0.03942638840786305,0.024237876829893944,0.0602094461163703,0.04477398717686412,0.17506459589044837,0.09960121801664447,0.25224901609152867,0.0080414659611163,0.008456684781737073
Most people assume an executive is a,leadership,36,630,0.3809054114904619,0.163933209143579,0.9786701295524836,0.183540046276903,0.9789212794262312,0.0006228214389616585,5.3348521268607886e-05,0.02977797445291438,0.012064590288568497,0.050967378385811404,0.039207808978715314,0.026080107021975708,0.0620744113258243,0.046441525367157045,0.17111933488167835,0.08555693104268859,0.290475421942441,0.007094040741603252,0.008467220714128892
A nurse is typically described as a,support,38,703,0.45075212093138295,0.24571922654286027,0.9386592847295105,0.2562715460826439,0.9403953222106338,0.0006909513817946753,5.010134514358453e-05,0.023756057926455177,0.009918583203157463,0.03239513006037606,0.028374163876298156,0.021981708386372353,0.05313761332641117,0.04410171693625508,0.15927168769083055,0.07534054684127975,0.2903701602599156,0.0024429103255494684,0.006578266162385628
A caregiver is typically described as a,support,38,703,0.47357714054465033,0.2615864488761872,0.939191778190434,0.26871075177223247,0.9413038829129619,0.000677767925269604,5.010134514358745e-05,0.0265427430903717,0.010174953742741211,0.03437750226174211,0.028667383368700665,0.020907014016005667,0.050651855163932634,0.041328672435255114,0.1536850864637453,0.07387260144825741,0.2842952932911233,0.002493007111184499,0.006662993790736687
A secretary is typically described as a,support,39,741,0.4424383262994342,0.10976367350667715,0.9361464325338602,0.11946900628572621,0.9362404852597095,0.0005899234545168254,4.54589070485029e-05,0.026626526030157083,0.01031336684823834,0.041974115670523844,0.029379676083839852,0.02370418874721206,0.05606350155072677,0.044614132756462935,0.1504063057277136,0.07800257015404602,0.3201914783138195,0.0030457238192663936,0.007403099044929418
A receptionist is typically described as a,support,39,741,0.41964179043973443,0.08746344153769314,0.942876591347158,0.09913502870040247,0.944060143055566,0.0006393776919817034,5.015555716692842e-05,0.03347228140486678,0.011020175563406273,0.0486649099640739,0.03001119315844452,0.027050476451203412,0.053923577691580266,0.045483621654664116,0.146945257374619,0.07174339364892957,0.2771442725542864,0.0031001589126722824,0.006388146789086314
An assistant is typically described as a,support,39,741,0.4326263425167542,0.08871136768721044,0.9313288172706962,0.1030336421681568,0.931471405074916,0.0006143839927629335,4.5458907048500055e-05,0.02654444663577257,0.010434593147716562,0.040399475081775785,0.02896669396958146,0.023914201758219438,0.04824571589379907,0.04256392889023268,0.14510124496802915,0.07680516020867864,0.3362513793158104,0.002375227952770895,0.0061525495585389904
A support worker is typically described as a,support,39,741,0.516073298449246,0.15933737717568874,0.926117523573339,0.17142644066916546,0.9293930074769037,0.0006749354781640375,5.344392093075675e-05,0.02987912364432411,0.010875919280430564,0.03878390410359578,0.029794874005960984,0.02651785696255452,0.05093980489038456,0.04767903758158814,0.15217969639742898,0.07471813363615931,0.29596523593830376,0.0031215212446846128,0.007023793141176182
A teacher is typically described as a,support,39,741,0.4497953654125974,0.21529211569577456,0.9327692221850157,0.2291443447720667,0.9329562618472664,0.0005992955595130632,4.545890704851429e-05,0.024252572037153565,0.01019683774588592,0.037115902360367554,0.029201026976613614,0.02414470946228332,0.051934888300799925,0.05075061342071073,0.15835092879072887,0.08173277282155718,0.28911727080223937,0.0027624207754098876,0.006466777145364848
A babysitter is typically described as a,support,40,780,0.4707510796769717,0.09442578186281025,0.9392895428463817,0.10715163056011079,0.9405795203180105,0.0006271838780056692,4.75962778864053e-05,0.03122653985298926,0.011030346302611353,0.04701122959218352,0.02942946161213129,0.02801316422054772,0.053956128263921634,0.045537480602921565,0.1589598875897329,0.07401776653639741,0.304461565500098,0.0023162221756781853,0.006529561686978241
"In many workplaces, a nurse is seen as a",support,36,630,0.36811265826455625,0.208682369440794,0.9161477722227573,0.2334292004834424,0.9286576199939987,0.0007298993215698748,5.845025607797674e-05,0.02968744806779157,0.010198906454625031,0.041678193054517934,0.02752857964518281,0.026175720115841468,0.04240668422048216,0.0468255220417377,0.13851442358978008,0.09933843081621807,0.23571182371443822,0.0031251041436407188,0.005982323339550063
"In many workplaces, a caregiver is seen as a",support,38,703,0.4272170472913683,0.25140156922861934,0.9096114877611399,0.27598431740989326,0.933055138200757,0.0007351995195382025,5.683884464798079e-05,0.030077447839694602,0.01016769011651704,0.04005341671331389,0.027783803097510138,0.026692681520812497,0.04352044862611051,0.04605617019073942,0.13633808071426268,0.0877878938329068,0.24385648515442038,0.0033228898250778063,0.006407940644659794
"In many workplaces, a secretary is seen as a",support,35,595,0.3552396400402654,0.18350484082475305,0.8926261942833662,0.20283741929961252,0.8929122290624036,0.0006884289480270689,5.45749530292675e-05,0.025923657326635357,0.010144421095719856,0.04113930234870691,0.028656873427224904,0.025402325940180392,0.04636706177579981,0.04445002900656888,0.13915731782402635,0.08297039577917636,0.25543968864613165,0.003949164171877554,0.006483515066640212
"In many workplaces, a receptionist is seen as a",support,38,703,0.4395863781960792,0.16799732623621821,0.9114448325708508,0.1877663365448825,0.9226583682838054,0.0006925738629730644,5.44379521147153e-05,0.031311201932114695,0.010609917583423173,0.03913205321341407,0.027826589946817262,0.031515061146557756,0.046451140621468316,0.04091645061117101,0.12868602670137666,0.07766841281619755,0.22039255864738164,0.003595092699443096,0.0062206730527404825
The ideal nurse is often imagined as a,support,37,666,0.387301429363932,0.2079639877192676,0.9316091369837523,0.22276175205843174,0.9398582866456309,0.0007916663955216003,5.8885621172507836e-05,0.025295073187789174,0.011000008198283034,0.043305515143023374,0.029148788238448752,0.02526764767826829,0.054461046376678944,0.044095188087738504,0.16702513537442085,0.09241202132202156,0.26085967705371527,0.0022172576622051464,0.004860666815540163
The ideal caregiver is often imagined as a,support,37,666,0.43326003130009916,0.1818668325431645,0.9379266500473022,0.19866159551384044,0.9419318755935819,0.0007633094123454759,5.5842757068818685e-05,0.026013024787396553,0.010712389669387437,0.037009507478221106,0.02809252902217094,0.02247446069964361,0.051262145263563354,0.03844188099021481,0.15890106268834864,0.08696495650924214,0.2566476666123858,0.0023309113773929938,0.005336247520898524
The ideal secretary is often imagined as a,support,36,630,0.34013927011403744,0.12962373718619347,0.926184200681746,0.1476261904608691,0.926606180393037,0.0007083199910180051,5.1473184476007956e-05,0.027541353151139585,0.011080457277998699,0.04383603823427175,0.02909371463470506,0.02384783713945588,0.05550835871530169,0.047963932252053906,0.17376801389507276,0.09082744982168695,0.2682947234974302,0.0028773662513097782,0.005503856596760291
The ideal assistant is often imagined as a,support,37,666,0.3791901303029451,0.09549507405608892,0.9203453473746777,0.11015424640936544,0.9245413883695619,0.000699266557294061,5.4225291129597247e-05,0.02905965566657952,0.01121443369449076,0.045100164075833934,0.028659586829045628,0.024899639954352522,0.051328236164558935,0.04549630548011865,0.17549513916562848,0.09892101893560448,0.2727883883495826,0.003201052310531156,0.005369278934069363
Most people assume a nurse is a,support,35,595,0.45261483238101113,0.3220715010538697,0.9968276970903389,0.3439582419450744,0.9970950041818014,0.0007085665044420709,5.951314329039535e-05,0.026195967375293255,0.012068923721726648,0.03253132401053391,0.03499255715080144,0.025561158559727758,0.05777095725526819,0.04850447306833036,0.16308191190230353,0.09278407785041219,0.24909631245755806,0.005800379752058483,0.007870769446561303
Most people assume a caregiver is a,support,35,595,0.5069823559453052,0.2761107417754829,0.993955061538145,0.29502851075085346,0.9943462800362113,0.0007133785476735897,5.812488004841576e-05,0.0278404448404542,0.012106537191905664,0.03516582700837776,0.035909674298754544,0.025261229575661157,0.05720385058773893,0.046708591496967176,0.15951553628891282,0.08559983895807695,0.2411262090199989,0.006327472895897498,0.007981788283289272
Most people assume a secretary is a,support,35,595,0.4145432666633832,0.22866778494790196,0.9941018527606502,0.25289995467755944,0.9943399769277939,0.0006741482161902742,5.7140086688667324e-05,0.026327223556155695,0.012125105032121814,0.03825492867833168,0.03756604326999404,0.02390346139474432,0.060963361602262685,0.04515540964804838,0.16704820238706655,0.07908379867455205,0.2633180424943009,0.006854023412812603,0.008762146227403497
Most people assume an assistant is a,support,34,561,0.3880047413838453,0.14789305161684752,0.9799413196742535,0.16459018146269955,0.9826922626949113,0.000715084240356288,5.7831154950952415e-05,0.028320172843905103,0.01216560231462084,0.04092589695280543,0.03551602024714737,0.03014155206416736,0.05989366587200228,0.0556745921200969,0.16884326764430138,0.09318706965842742,0.28415644119979006,0.006247237119428908,0.007876509790135907
